slot,block_time,tx_signature,token_mint_a,token_mint_b,token_vault_a,token_vault_b,num_swaps,token_amount_a,token_amount_b,pre_balance_a,pre_balance_b,post_balance_a,post_balance_b,decimals_a,decimals_b,token_price_a,token_price_b,token_ema_a,token_ema_b
372557738,1760144627,5cppfDHNpCdZC5X115jZPj2AnMPdwTw6PoqWE1Qv6HA2pjT8nU9G9rw9hWe5pr5mBKydXc2zroc7UsFY467uygA4,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052782.037317,11452062.27489,17056598.418517,11454553.319131,6,6,0.99951561,0.9998191200000001,0.99895795,0.9998558000000001
372557726,1760144623,24wr5acRfCa66zrPKLwJWoZcKb5matdEtHHVMh4h4BdJ6FCpGXpbsFBhCWcvGxoZh5QGzfGrhueZbqbQYm3vntWw,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052763.934913,11452080.373443,17052782.037317,11452062.27489,6,6,0.99952314,0.9998224800000001,0.9989573,0.99985587
372557649,1760144592,5pgwFBZwu9NLa5yGxFTXTpJJKhVC2ze32WLeuXyqyg5s7MGv8fdiSrvZSMAZQjBTuW6nBEXKks3TMCNVxnxeTm6s,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052745.832075,11452098.47243,17052763.934913,11452080.373443,6,6,0.99949345,0.99983085,0.99895232,0.99985606
372557601,1760144573,2PTsL8H7cAmwJLG2aPEqe5LhQPfQ1RAje1xQiQ1q19xyt1sYKbGZgG2Pwv2gMGX8qwwZVAGmQL9HKcUsYpDDJ2fW,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052742.795176,11452101.508682,17052745.832075,11452098.47243,6,6,0.99949055,0.99981698,0.99894898,0.99985628
372557599,1760144572,37SnosZ1PzVxFCB5FAnSb51f3N7PkgXecqPUegAHEAcyRQe9MjKMks9DfQAFRWNVUmZFqwEdionaTVo2yLXkTVg1,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052737.711425,11452106.591351,17052742.795176,11452101.508682,6,6,0.99947092,0.9998198,0.9989488400000001,0.99985629
372557562,1760144557,4bhKT6QPGC2j2hXgmxnLHRG5EpzA1DVbkvhEeGecNRAaDGZ8iD26PRnfSg7sgKqF8u2vSTTkHGmBhkhmT8dASPvr,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052732.15009,11452112.151502,17052737.711425,11452106.591351,6,6,0.9994904800000001,0.99983926,0.9989461000000001,0.9998564
372557531,1760144545,46pEYnPhd7fdKZ1pmxtgoLKno6tpehgmLanZMfSdrF2FtocXm9f9H23Kemy7wgcRDhHvYYDrPrPPD9r4SpYTeRH1,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052715.269533,11452129.028468,17052732.15009,11452112.151502,6,6,0.9994974,0.99984295,0.9989438900000001,0.99985639
372557495,1760144530,3XFx7iGd2haykbtZFt2JmfQL4w3qRBt8ELExKCLw624ggfL6gRvYcjdwFj3EPxwekj8Lc8Pngg8AGVo3FiEywLmR,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052696.957931,11452147.336175,17052715.269533,11452129.028468,6,6,0.99953358,0.99982247,0.99894112,0.99985642
372557471,1760144521,3txzjAFm54vn9vYJSrhTxu9VzKjNLGXABmRsxMwNMEcJUZBEHkbtiNvCi8HCXRAe1PkMXTLt8fu8iHo1q5ccnGpi,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052690.28572,11452154.006966,17052696.957931,11452147.336175,6,6,0.99950424,0.9998189000000001,0.9989394,0.99985651
372557426,1760144504,2VJLuheBwZ67dFW1UoGTZhHgb5qmX9d2NqKzLFuXN4bzs6opbZywvdR4i8gwcSC1pTPCHL7vy6NNGwnbUgcMkCFs,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052687.245373,11452157.046665,17052690.28572,11452154.006966,6,6,0.99949551,0.9998107900000001,0.99893628,0.9998566400000001
