slot,block_time,tx_signature,token_mint_a,token_mint_b,token_vault_a,token_vault_b,num_swaps,token_amount_a,token_amount_b,pre_balance_a,pre_balance_b,post_balance_a,post_balance_b,decimals_a,decimals_b
371041925,1759544370,cb1rhGvwzVbDQcMmMbAuKEWnUejD2MYnUGwjFvWGtvid2LoDgsayPNYECWUa6Yns5Suvq93KZ5mr5cRg5g7yDiB,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,10003513,87701087,280.398248714,73015.8985123,280.388245201,73016.77552317,9,8
371041888,1759544356,4RE9e5ugyN6iDtCjZRWAiwQEc8NALScJpnPz17Cbw9oyCgNigSSsaQDBGA28bxY8KDe8uAmPFFpCRdaT7Do1Qxut,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,8137305,71339690,280.406386019,73015.1851154,280.398248714,73015.8985123,9,8
371041883,1759544354,2Rh7DxAmdW4CZ3FSLunpXGPaD8EvWx9xa4G13fYsMGAcKAggMwt7DKySvJZ3wDmDyuVZRHmb36hBkRCR745agg61,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,20940990,183588287,280.427327009,73013.34923253,280.406386019,73015.1851154,9,8
371041850,1759544341,2PtDPp9Au8V8RBRaHZ7vNpn3o6sgR8V3zegX2nJtRuvTNW8wCUjgbnaY3kLSLYt5oVrddLUGtCSMp86bAaNzaHKb,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,9192784,80591982,280.436519793,73012.54331271,280.427327009,73013.34923253,9,8
371041817,1759544328,4sz7PCvm4Hx2hPRQ2smBhtdGYAvq7BxwjvvAQYTgo6s8tACmYoRXVDSHf1KQuJhTsADFfxSrAHtHeWXZU1567HM1,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,5472082,47972896,280.441991875,73012.06358375,280.436519793,73012.54331271,9,8
371041781,1759544314,3qgA9yfTWCRFhE718bPXbDWsWBjgQhDXMt9gA9v6nYhQrWoNf9CaGqcJKVwNDxAujgC2gbUFiNTunJaGTu1bqHEq,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,5255564,46074607,280.447247439,73011.60283768,280.441991875,73012.06358375,9,8
371041774,1759544311,5GBZdmbr6ZGih82fUmaxL13mD5gtMzJdqJXwzA7RZGgPFqTfsQZ4beVNV3hF5wQgVVVMKpuzGb92CsaBjuexhDC9,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,655544686,5742147893,279.791702753,73069.02431661,280.447247439,73011.60283768,9,8
371041676,1759544271,3hQSiAXyFb525pNn3wg96HRVYGWaqmyAUaEfxfNGqjBSzTbyAx7cBeRhgwL9s3M8cgsnkc4DwtWXMXmnawbWQECG,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,12971839,113755265,279.804674592,73067.88676396,279.791702753,73069.02431661,9,8
371041671,1759544269,5RGrAK8YykM9FwVH2DH1iwQgrbFZy73P84q4CHZ3bbFqFkHqcnnnrAVrNW53eCcVRrE9Mb5j6ftt6q2BKx6SoeAr,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,708843349,6210899904,279.095831243,73129.995763,279.804674592,73067.88676396,9,8
371041671,1759544269,5wEsAXCJdsYyR8pL2TZzhQcCdLviPCHJwBvvdzbMZxpVLS5QxSPVTVG3joNEpMdn9C6Be1TU8bnUm13s2wVuc2fC,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,3254856,28552239,279.099086099,73129.71024061,279.095831243,73129.995763,9,8
